obj_category,DWD,LKD,MSD,SOD,SemanticPixelSegmenation,red,green,blue,belong_sections,has_relation_category,need_relation,End
background,,,,,1,255,20,127,,,,0
bed,,,,0,14,35,100,35,bedroom,on,,0
cabinet,,,,2,3,240,248,255,living_room;bedroom;kitchen:0.5;,inside;hang_on;,,0
cabinet_ground_curve,,10,,,,255,23,23,,,,0
cabinet_ground_line,,4,,,,102,0,204,,,,0
cabinet_wall_line,,3,,,,32,32,32,,,,0
ceiling,,,,,8,102,255,0,,,,0
ceiling_line,,7,,,,102,255,0,,,,0
chair,,,,5,,102,0,204,living_room;bedroom,,,0
clock,,,,11,,255,23,23,living_room;bedroom,,on,0
coffee_table,,,,4,17,158,176,69,living_room,on,,0
concave_wall_line,,0,,,,255,20,127,,,,0
conditioner,,,,8,23,144,244,23,living_room;bedroom,,,0
convex_wall_line,,1,,,,250,50,50,,,,0
curtain,,,,,9,39,144,65,living_room;bedroom,,hand_on,0
desk,,,,,16,255,255,0,living_room;bedroom,on,,0
door,,,1,,,176,169,169,,,,0
electric_water_heater,,,,16,,38,112,233,bathroom,,,0
electrical_door,3,,,,,154,176,32,,,,0
elevator_door,4,,,,,32,35,169,,,,0
fire_hydrant,,,,19,,244,228,69,,,,0
gas_water_heater,,,,17,,175,32,45,bathroom,,,0
glass,,,,,6,2,103,71,,,,0
ground,,,,,13,169,169,169,,,,0
horizontal_door,1,,,,,250,50,50,,,,0
kitchen_ventilator,,,,,18,35,213,234,kitchen,,,0
light,,,,10,,54,176,239,,,,0
mirror,,,,,7,154,229,206,bathroom;bedroom;,,,0
opened_cabinet_door,,,,,4,32,32,32,,,,0
other,,,3,,,0,0,0,,,,0
overexposure_glass,,,,,11,255,23,23,,,,0
range_hood,,,,18,,35,213,234,kitchen,,,0
refrigerator,,,,7,22,95,158,160,living_room;kitchen,inside,,0
remote_control,,,,14,,35,100,35,living_room;bedroom,,on,0
safety_sign,,,,20,,154,38,91,,,,0
shelf,,,,,12,124,133,141,study;bedroom;living_room,,,0
socket,,,,13,25,62,0,154,living_room;bedroom;kitchen;,,hand_on,0
sofa,,,,1,15,139,69,19,living_room;bedroom,on,,0
sofa_ground_curve,,11,,,,124,133,141,,,,0
sofa_ground_line,,5,,,,2,103,71,,,,0
stair,,,2,,5,39,54,255,,,,0
stair_curve,,9,,,,54,176,239,,,,0
stair_hollowed,,,,,10,54,176,239,,,,0
stair_line,,6,,,,154,229,206,,,,0
step,,,0,,,144,50,124,,,,0
switch_panel,,,,12,24,144,169,244,,,,0
table,,,,3,,158,149,35,living_room;bedroom,on,,0
television,,,,6,21,54,50,32,living_room;bedroom,,,0
toilet,,,,15,19,244,228,69,bathroom,,,0
unkown,5,,,,,144,169,50,,,,0
vertical_door,0,,,,,255,20,127,,,,0
wall,,,,,2,210,180,140,,hand_on,,0
wall_ground_curve,,8,,,,39,144,65,,,,0
wall_ground_line,,2,,,,169,169,169,,,,0
wall_paint,,,,21,26,54,50,32,living_room;bedroom,,hand_on,0
washing_machine,,,,9,20,100,149,237,living_room;balcony;bathroom;,inside,,0
window,2,,,,,169,169,169,,,,0
